Station,Code
Aldgate,ALD
Angel,ANG
Baker Street,BAK
Bank,BNK
Barbican,BRB
Bayswater,BAY
Blackfriars,BKF
Bond Street,BND
Borough,BOR
Cannon Street,CNS
Chancery Lane,CCL
Charing Cross,CRC
Covent Garden,CVC
Earl's Court,ERL
Edgware Road,EWR
Elephant Castle,ELC
Embankment,EMB
Euston,ETN
Euston Square,ETS
Farringdon,FRD
Gloucester Road,GLR
Goodge Street,GOS
Great Portland Street,GPS
Green Park,GRP
High Street Kensington,HSK
Holborn,HOL
Hyde Park Corner,HYD
King's Cross,KNC
Knightsbridge,KTB
Lambeth North,LBN
Lancaster Gate,LCG
Leicester Square,LCS
Liverpool Street,LVP
London Bridge,LND
Mansion House,MNS
Marble Arch,MBA
Marylebone,MLB
Monument,MNM
Moorgate,MRG
Notting Hill Gate,NHG
Old Street,OLD
Oxford Circus,OXF
Paddington,PDG
Piccadilly Circus,PDC
Pimlico,PML
Queensway,QNS
Regent's Park,RGP
Russell Square,RSS
Sloane Square,SLS
South Kensington,SKT
Southwark,SWK
St. James's Park,SJP
St. Paul's,STP
Temple,TMP
Tottenham Court Road,TCR
Tower Hill,TWH
Vauxhall,VXH
Victoria,VCT
Warren Street,WRN
Waterloo,WTL
Westminster,WSM
